hshift,wshift,corr
-49,46,-0.01583485759254373
-49,47,-0.011503712683717643
-49,48,0.010883420523295833
-49,49,0.05287433269202776
-49,50,0.03531641706780807
-48,-50,-0.018924330406922922
-48,-49,-0.017267375214020712
-48,-48,-0.04218418237074838
-48,-47,-0.03954325088757432
-48,-46,-0.04410391391790136
-48,-45,-0.04525152437207127
-48,-44,-0.03168390993688412
-48,-43,-0.02815854939585461
-48,-42,-0.013376051511056223
-48,-41,-0.023279063753921473
-48,-40,-0.046961486578690564
-48,-39,-0.03039755971231102
-48,-38,-0.0018804679670296816
-48,-37,0.022124083712651597
-48,-36,0.008026131323902829
-48,-35,0.012120731468386981
-48,-34,0.014120460885243217
-48,-33,0.013302250208565836
-48,-32,0.026473390737007135
-48,-31,0.02145570034986238
-48,-30,0.03201539285033002
-48,-29,0.007945872144847316
-48,-28,-0.01769017139213554
-48,-27,-0.012311872725170816
-48,-26,-0.0047009668831015485
-48,-25,-0.022612853156214804
-48,-24,-0.03282522233925028
-48,-23,-0.01586522396221656
-48,-22,-0.026732419042422434
-48,-21,-0.032664428510174634
-48,-20,-0.022934849882591393
-48,-19,-0.015457973070532666
-48,-18,0.0067642068323956715
-48,-17,0.0019331696380078377
-48,-16,-0.015871501974614805
-48,-15,-0.0007978815633458272
-48,-14,-0.004107195740100671
-48,-13,0.01839937560237714
-48,-12,0.020094565957843237
-48,-11,0.0033635642831068148
-48,-10,0.00503082268227249
-48,-9,0.010363178675237608
-48,-8,0.01960557091172035
-48,-7,0.030839481676435392
-48,-6,0.027879927486942426
-48,-5,0.031421640975865146
-48,-4,0.017636345109220058
-48,-3,0.02807826802538839
-48,-2,0.004860261574639374
-48,-1,0.006749922251132142
-48,0,0.009552455370515028
-48,1,-0.005077580488023203
-48,2,-0.017939271367375068
-48,3,-0.025609630350958156
-48,4,-0.009662935856564667
-48,5,-0.014859903125387501
-48,6,-0.01846307786784771
-48,7,-0.014876629484193672
-48,8,-0.024741807426740897
-48,9,-0.02058001110054548
-48,10,-0.023898505993032754
-48,11,-0.004085322880335775
-48,12,0.006062798922820934
-48,13,0.013138399707845182
-48,14,-0.01609446007799991
-48,15,-0.017678407802242262
-48,16,0.0006241827202969183
-48,17,-0.007297107882453249
-48,18,-0.011362147633533281
-48,19,0.015261417470816982
-48,20,0.013939307253578233
-48,21,0.0242348086207652
-48,22,0.04822895908201885
-48,23,0.040385295735579044
-48,24,0.02903188504016292
-48,25,0.014325202226831302
-48,26,0.002994589669204751
-48,27,-0.008082217741541237
-48,28,-0.0213820066085052
-48,29,-0.009605825096711216
-48,30,-0.0042366548712167666
-48,31,-0.006078783731204494
-48,32,-0.011025728458115606
-48,33,-0.003910771598886066
-48,34,-0.0055364658109623
-48,35,0.012506795586540293
-48,36,0.031171568618959287
-48,37,0.019848162755528104
-48,38,-0.00041145348994190795
-48,39,-0.02669486853433275
-48,40,-0.008872679633973412
-48,41,-0.010288825137884372
-48,42,0.012160906109121841
-48,43,-0.010521610876987142
-48,44,-0.01616857703442078
-48,45,-0.028792030498283785
-48,46,-0.013375147236584293
-48,47,-0.001465089329915816
-48,48,0.012999956508737432
-48,49,0.024174288650161017
-48,50,0.01989237096506136
-47,-50,-0.023988556395089306
-47,-49,-0.026327339074327417
-47,-48,-0.015976020927275927
-47,-47,-0.04654255299867336
-47,-46,-0.04853990717748478
-47,-45,-0.02561252588735206
-47,-44,-0.044945750086025166
-47,-43,-0.042100478340683464
-47,-42,-0.03185531949278748
-47,-41,-0.0304530870246973
-47,-40,-0.030257541044832772
-47,-39,-0.037268023419515496
-47,-38,-0.03613549499965868
-47,-37,-0.01926639932270453
-47,-36,-0.01171898905354518
-47,-35,-0.009447034144123812
-47,-34,0.003278884957755397
-47,-33,0.010623187574338507
-47,-32,0.02560773599992439
-47,-31,0.038657554639505765
-47,-30,0.02070766857616434
-47,-29,0.0014439135428407173
-47,-28,-0.015635064597145802
-47,-27,-0.014556774166684838
-47,-26,0.0029743690410042258
-47,-25,-0.013908209181049689
-47,-24,-0.02456725618485074
-47,-23,-0.020857335993408593
-47,-22,-0.029745976941073598
-47,-21,-0.021842874915781435
-47,-20,-0.017596759080905137
-47,-19,0.003929953483765699
-47,-18,-0.0009695511658165782
-47,-17,0.005598560031814543
-47,-16,-0.007561066600283413
-47,-15,-0.010171454653216899
-47,-14,-0.006684871511238664
-47,-13,0.0052211934810568236
-47,-12,0.025358079126204063
-47,-11,0.027115249523738498
-47,-10,0.03278349341567495
-47,-9,0.021186612873795464
-47,-8,0.029971771576486624
-47,-7,0.0237963982459467
-47,-6,0.025144068399539584
-47,-5,0.020507020657436897
-47,-4,0.02971230174756877
-47,-3,0.02682167202556477
-47,-2,0.016078610189359528
-47,-1,-0.006368900601192712
-47,0,-0.004637899396653888
-47,1,-0.014726640184565763
-47,2,-0.014064666801788826
-47,3,-0.02530648122922455
-47,4,-0.001689680553760367
-47,5,0.002209188673367189
-47,6,-0.002639562604310708
-47,7,-0.00038180958280106684
-47,8,-0.02101320086820484
-47,9,-0.030496037180610988
-47,10,-0.018286434376340553
-47,11,0.0070949428578422945
-47,12,0.00930778144368128
-47,13,0.005617864267929737
-47,14,-0.01449119972953955
-47,15,-0.02301659970461947
-47,16,0.004137909575240794
-47,17,0.0023366866966563335
-47,18,0.019762315909655326
-47,19,0.021635008233418945
-47,20,0.026466595825258694
-47,21,0.02843077216185885
-47,22,0.04253333834618275
-47,23,0.03219541500171647
-47,24,0.03545965199340943
-47,25,0.019686694402676657
-47,26,0.0011074975465726093
-47,27,-0.041890630752258115
-47,28,-0.04228234499934812
-47,29,-0.039377107342656016
-47,30,-0.013260018189818859
-47,31,0.011435885646085877
-47,32,0.012086822267905431
-47,33,0.03287442868870499
-47,34,0.03140384301853521
-47,35,0.03142650568614629
-47,36,0.027821763327132872
-47,37,0.030051195643851652
-47,38,0.01458588195458912
-47,39,0.005616578214975578
-47,40,0.01930006826177368
-47,41,0.01643887825179526
-47,42,0.01748642762098576
-47,43,0.01590667694819922
-47,44,-0.0010485563862007794
-47,45,-0.016124305842342212
-47,46,-0.028206028442740127
-47,47,-0.00959421148889716
-47,48,-0.011462696920356811
-47,49,-0.008373329794913715
-47,50,0.009564758876741332
-46,-50,-0.02606263896124984
